fecha,Ocupantes,Fallecidos,Decada,Supervivientes
1929-04-21,6,6,1970-01-01 00:00:00.000001920,0
1929-09-05,5,5,1970-01-01 00:00:00.000001920,0
1929-05-18,2,2,1970-01-01 00:00:00.000001920,0
1929-05-22,6,4,1970-01-01 00:00:00.000001920,2
1929-06-13,5,2,1970-01-01 00:00:00.000001920,3
1929-06-14,2,1,1970-01-01 00:00:00.000001920,1
1929-06-17,13,7,1970-01-01 00:00:00.000001920,6
1929-06-24,8,1,1970-01-01 00:00:00.000001920,7
1929-06-29,5,5,1970-01-01 00:00:00.000001920,0
1929-06-29,1,1,1970-01-01 00:00:00.000001920,0
1929-11-08,4,4,1970-01-01 00:00:00.000001920,0
1929-08-24,1,1,1970-01-01 00:00:00.000001920,0
1929-08-24,5,4,1970-01-01 00:00:00.000001920,1
1929-02-09,2,1,1970-01-01 00:00:00.000001920,1
1929-03-09,8,8,1970-01-01 00:00:00.000001920,0
1929-06-09,5,3,1970-01-01 00:00:00.000001920,2
1929-09-14,6,6,1970-01-01 00:00:00.000001920,0
1929-09-14,6,6,1970-01-01 00:00:00.000001920,0
1929-09-17,1,1,1970-01-01 00:00:00.000001920,0
1929-09-17,5,5,1970-01-01 00:00:00.000001920,0
1929-09-17,2,1,1970-01-01 00:00:00.000001920,1
1929-10-26,7,7,1970-01-01 00:00:00.000001920,0
1929-10-29,1,1,1970-01-01 00:00:00.000001920,0
1929-10-31,2,2,1970-01-01 00:00:00.000001920,0
1929-04-11,4,4,1970-01-01 00:00:00.000001920,0
1929-06-11,8,7,1970-01-01 00:00:00.000001920,1
1929-11-16,3,3,1970-01-01 00:00:00.000001920,0
1929-11-20,12,1,1970-01-01 00:00:00.000001920,11
1929-11-30,1,1,1970-01-01 00:00:00.000001920,0
1929-02-12,1,1,1970-01-01 00:00:00.000001920,0
1929-12-19,3,2,1970-01-01 00:00:00.000001920,1
1929-12-30,5,5,1970-01-01 00:00:00.000001920,0
1930-10-01,1,1,1970-01-01 00:00:00.000001930,0
1930-01-13,3,3,1970-01-01 00:00:00.000001930,0
1930-01-19,16,16,1970-01-01 00:00:00.000001930,0
1930-01-25,2,2,1970-01-01 00:00:00.000001930,0
1930-01-27,5,5,1970-01-01 00:00:00.000001930,0
1930-03-02,1,1,1970-01-01 00:00:00.000001930,0
1930-10-02,6,2,1970-01-01 00:00:00.000001930,4
1930-04-18,4,4,1970-01-01 00:00:00.000001930,0
1930-10-05,4,3,1970-01-01 00:00:00.000001930,1
1930-05-06,15,1,1970-01-01 00:00:00.000001930,14
1930-07-07,8,5,1970-01-01 00:00:00.000001930,3
1930-10-07,5,5,1970-01-01 00:00:00.000001930,0
1930-07-21,6,6,1970-01-01 00:00:00.000001930,0
1930-08-22,11,10,1970-01-01 00:00:00.000001930,1
